,sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
10543,252589,https://sofifa.com/player/252589/nicola-pavan/20/159586,N. Pavan,Nicola Pavan,26,1993-06-15,184,78,Italy,Cittadella,65,68,600000,1000,"CDM, CM",Right,1,3,2,Medium/Medium,Normal,No,975000.0,,SUB,88.0,,2019-08-06,2022.0,,,68.0,54.0,63.0,64.0,63.0,66.0,,,,,,,,59,46,67,68,47,63,60,56,67,67,69,68,60,64,61,68,67,65,67,60,63,60,46,58,55,63,61,65,64,8,14,9,7,6,59+2,59+2,59+2,60+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,62+2,62+2,62+2,62+2,62+2,63+2,64+2,64+2,64+2,63+2,64+2,64+2,64+2,64+2,64+2
1419,232883,https://sofifa.com/player/232883/gaku-shibasaki/20/159586,G. Shibasaki,柴崎 岳,27,1992-05-28,175,62,Japan,Deportivo de La Coruña,76,77,9000000,10000,"CAM, ST, CDM",Right,1,3,4,Medium/Medium,Lean,No,15100000.0,,LDM,22.0,,2019-07-14,2023.0,,,68.0,68.0,75.0,76.0,68.0,64.0,,,,,,,Selfish,68,70,56,79,61,75,59,67,78,76,69,68,76,78,76,64,67,73,58,68,65,74,69,78,71,75,61,73,72,10,13,13,9,6,68+2,68+2,68+2,73+2,72+2,72+2,72+2,73+2,74+2,74+2,74+2,73+2,75+2,75+2,75+2,73+2,72+2,73+2,73+2,73+2,72+2,71+2,67+2,67+2,67+2,71+2
1017,223197,https://sofifa.com/player/223197/enes-unal/20/159586,E. Ünal,Enes Ünal,22,1997-05-10,185,75,Turkey,Real Valladolid CF,77,84,12500000,20000,ST,Right,1,3,3,High/Medium,Normal,Yes,,,SUB,9.0,Villarreal CF,,2020.0,,,72.0,77.0,64.0,76.0,36.0,78.0,,,,,,,,56,76,73,74,74,77,68,63,47,75,72,72,74,73,74,85,82,71,84,72,70,29,74,65,80,68,34,33,24,8,14,8,13,13,75+2,75+2,75+2,72+2,74+2,74+2,74+2,72+2,72+2,72+2,72+2,70+2,65+2,65+2,65+2,70+2,54+2,53+2,53+2,53+2,54+2,51+2,51+2,51+2,51+2,51+2
1491,182879,https://sofifa.com/player/182879/balazs-dzsudzsak/20/159586,B. Dzsudzsák,Balázs Dzsudzsák,32,1986-12-23,179,72,Hungary,Hungary,76,76,0,0,"LM, RM",Left,3,4,4,Medium/Medium,Normal,No,,,,,,,,RM,7.0,75.0,77.0,78.0,76.0,32.0,62.0,,,,,,,"Leadership, Argues with Officials, Crowd Favourite",83,72,42,73,73,76,83,84,72,74,76,74,84,73,73,83,62,71,61,81,53,35,71,83,85,77,42,21,20,10,7,14,7,10,70+3,70+3,70+3,75+3,74+3,74+3,74+3,75+3,75+3,75+3,75+3,75+3,70+3,70+3,70+3,75+3,57+3,54+3,54+3,54+3,57+3,52+3,43+3,43+3,43+3,52+3
18225,225510,https://sofifa.com/player/225510/devlin-mackay/20/159586,D. Mackay,Devlin Mackay,22,1997-01-23,191,81,Scotland,Kilmarnock,49,56,30000,1000,GK,Right,1,2,1,Medium/Medium,Normal,No,59000.0,,SUB,13.0,,2013-07-01,2024.0,,,,,,,,,48.0,50.0,47.0,48.0,41.0,48.0,,14,20,20,28,18,13,20,22,22,23,42,41,37,45,52,35,48,33,50,20,18,23,14,19,24,30,12,18,18,48,50,47,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,
15147,251175,https://sofifa.com/player/251175/goodness-ajayi/20/159586,G. Ajayi,Goodness Ajayi,24,1994-10-06,176,70,Nigeria,Astra Giurgiu,60,65,280000,2000,LM,Right,1,3,3,Medium/Medium,Normal,No,399000.0,,RES,17.0,,2019-07-01,2023.0,,,75.0,54.0,56.0,58.0,27.0,48.0,,,,,,,,58,59,46,59,40,55,51,41,54,56,71,78,77,47,74,62,55,70,44,37,30,22,60,56,44,52,21,31,21,10,12,10,13,7,56+2,56+2,56+2,58+2,57+2,57+2,57+2,58+2,57+2,57+2,57+2,59+2,52+2,52+2,52+2,59+2,46+2,41+2,41+2,41+2,46+2,44+2,35+2,35+2,35+2,44+2
16188,242913,https://sofifa.com/player/242913/hao-luo/20/159586,Luo Hao,罗皓,24,1995-01-17,186,79,China PR,Chongqing Dangdai Lifan FC SWM Team,58,66,170000,1000,"CB, CM",Right,1,2,2,Medium/Medium,Normal,No,298000.0,,CM,4.0,,2018-01-02,2022.0,,,53.0,32.0,44.0,42.0,58.0,61.0,,,,,,,,40,25,52,50,36,40,31,30,45,42,54,53,45,50,54,43,71,55,64,30,59,52,42,43,40,45,68,55,55,14,11,14,5,13,42+2,42+2,42+2,42+2,42+2,42+2,42+2,42+2,42+2,42+2,42+2,44+2,45+2,45+2,45+2,44+2,51+2,52+2,52+2,52+2,51+2,52+2,56+2,56+2,56+2,52+2
2825,229739,https://sofifa.com/player/229739/jacek-goralski/20/159586,J. Góralski,Jacek Góralski,26,1992-09-21,172,66,Poland,Poland,73,77,0,0,CDM,Right,1,2,2,Medium/High,Normal,No,,,,,,,,SUB,6.0,72.0,46.0,63.0,67.0,69.0,79.0,,,,,,,Injury Prone,51,42,55,70,47,61,46,46,71,68,70,73,84,64,81,50,62,86,73,46,90,77,62,65,43,75,66,70,71,11,14,7,10,5,58+2,58+2,58+2,61+2,61+2,61+2,61+2,61+2,64+2,64+2,64+2,64+2,67+2,67+2,67+2,64+2,69+2,72+2,72+2,72+2,69+2,69+2,70+2,70+2,70+2,69+2
367,208093,https://sofifa.com/player/208093/gerard-moreno-balaguero/20/159586,Gerard Moreno,Gerard Moreno Balagueró,27,1992-04-07,180,77,Spain,Villarreal CF,81,82,21000000,45000,"ST, CF",Left,1,4,3,High/Medium,Normal,Yes,45700000.0,,ST,7.0,,2018-07-02,2023.0,,,76.0,79.0,66.0,78.0,45.0,69.0,,,,,,,"Beat Offside Trap, Speed Dribbler (CPU AI Only)",61,80,80,75,81,79,70,56,56,80,75,77,72,78,67,80,75,73,72,78,55,40,80,62,75,72,43,41,41,15,12,7,12,10,78+2,78+2,78+2,75+2,77+2,77+2,77+2,75+2,74+2,74+2,74+2,73+2,69+2,69+2,69+2,73+2,61+2,58+2,58+2,58+2,61+2,59+2,55+2,55+2,55+2,59+2
9447,209162,https://sofifa.com/player/209162/jose-erik-correa/20/159586,J. Correa,José Érik Correa Villero,26,1992-07-20,185,80,Colombia,Alianza Petrolera,66,67,775000,1000,ST,Left,1,3,3,Medium/Medium,Stocky,No,1100000.0,,ST,9.0,,2019-01-18,2023.0,,,70.0,62.0,43.0,62.0,32.0,78.0,,,,,,,,27,63,66,53,63,62,54,50,40,65,75,66,56,60,51,68,91,57,88,52,76,21,62,37,68,65,41,22,20,13,15,15,13,13,64+2,64+2,64+2,57+2,60+2,60+2,60+2,57+2,56+2,56+2,56+2,55+2,49+2,49+2,49+2,55+2,43+2,44+2,44+2,44+2,43+2,42+2,47+2,47+2,47+2,42+2
17508,240313,https://sofifa.com/player/240313/ahkeem-rose/20/159586,A. Rose,Ahkeem Rose,20,1998-11-27,175,68,Jamaica,Grimsby Town,54,65,120000,1000,"ST, RW",Left,1,2,2,Medium/Medium,Lean,No,234000.0,,SUB,14.0,,2017-01-01,2020.0,,,87.0,52.0,38.0,51.0,33.0,46.0,,,,,,,,32,57,48,45,41,50,43,26,32,46,88,87,63,48,79,47,54,49,49,48,34,20,51,40,57,50,40,31,30,5,6,13,12,12,53+2,53+2,53+2,52+2,52+2,52+2,52+2,52+2,49+2,49+2,49+2,50+2,42+2,42+2,42+2,50+2,42+2,37+2,37+2,37+2,42+2,42+2,38+2,38+2,38+2,42+2
9676,198250,https://sofifa.com/player/198250/zsolt-korcsmar/20/159586,Z. Korcsmár,Zsolt Korcsmár,30,1989-01-09,188,82,Hungary,FC Midtjylland,66,66,525000,6000,CB,Right,1,3,2,Medium/High,Normal,No,683000.0,,RES,4.0,,2017-07-01,2020.0,,,61.0,38.0,55.0,47.0,63.0,72.0,,,,,,,Injury Prone,56,28,66,63,30,39,33,40,58,57,57,64,52,59,54,68,81,71,72,32,73,62,48,45,27,61,62,64,63,6,11,9,10,9,51+2,51+2,51+2,49+2,49+2,49+2,49+2,49+2,50+2,50+2,50+2,52+2,54+2,54+2,54+2,52+2,60+2,62+2,62+2,62+2,60+2,62+2,64+2,64+2,64+2,62+2
486,227290,https://sofifa.com/player/227290/marko-dmitrovic/20/159586,M. Dmitrović,Marko Dmitrović,27,1992-01-24,194,94,Serbia,SD Eibar,80,81,12000000,22000,GK,Left,1,2,1,Medium/Medium,Normal,Yes,26100000.0,,GK,1.0,,2017-07-01,2021.0,,,,,,,,,76.0,79.0,78.0,81.0,37.0,81.0,Flair,30,20,20,40,20,8,20,9,40,9,39,35,32,73,37,59,50,45,79,17,20,17,9,45,9,59,19,22,20,76,79,78,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,
3539,213092,https://sofifa.com/player/213092/samuel-piette/20/159586,S. Piette,Samuel Piette,24,1994-11-12,171,79,Canada,Montreal Impact,72,75,3600000,5000,CDM,Right,1,2,2,Low/High,Stocky,Yes,5600000.0,,CDM,6.0,,2017-08-04,2019.0,RDM,6.0,63.0,44.0,60.0,64.0,69.0,80.0,,,,,,,"Diver, Avoids Using Weaker Foot, Giant Throw-in",44,34,60,70,32,59,58,39,66,66,62,63,66,70,86,65,74,92,73,46,82,71,39,58,49,68,71,71,59,15,10,10,7,9,54+2,54+2,54+2,56+2,56+2,56+2,56+2,56+2,58+2,58+2,58+2,59+2,64+2,64+2,64+2,59+2,66+2,70+2,70+2,70+2,66+2,66+2,69+2,69+2,69+2,66+2
9994,236678,https://sofifa.com/player/236678/simone-lo-faso/20/159586,S. Lo Faso,Simone Lo Faso,21,1998-02-18,179,72,Italy,Lecce,65,77,975000,4000,"CF, CAM, LW",Right,1,5,3,High/Medium,Lean,No,2000000.0,,SUB,32.0,,2019-07-25,2023.0,,,79.0,62.0,61.0,66.0,26.0,51.0,,,,,,,"Selfish, Crowd Favourite",59,61,58,60,63,65,69,65,56,67,79,79,70,63,63,65,59,42,57,62,45,23,61,67,65,60,26,22,14,10,13,9,13,13,63+2,63+2,63+2,65+2,65+2,65+2,65+2,65+2,64+2,64+2,64+2,63+2,57+2,57+2,57+2,63+2,46+2,43+2,43+2,43+2,46+2,43+2,38+2,38+2,38+2,43+2
5642,236172,https://sofifa.com/player/236172/nilson-leoncio-padilho-borges/20/159586,Nilson Padilho,Nilson Leôncio Padilho Borges,31,1988-02-29,184,81,Brazil,Chapecoense,70,70,1600000,10000,CAM,Left,1,3,3,Medium/Low,Normal,No,3000000.0,,LM,8.0,,2016-02-01,2022.0,,,71.0,59.0,65.0,70.0,42.0,69.0,,,,,,,,48,56,60,71,63,65,46,49,74,73,67,74,78,76,72,72,80,67,67,49,74,40,72,73,49,68,38,43,40,13,8,8,9,12,66+2,66+2,66+2,66+2,68+2,68+2,68+2,66+2,69+2,69+2,69+2,67+2,67+2,67+2,67+2,67+2,56+2,59+2,59+2,59+2,56+2,54+2,53+2,53+2,53+2,54+2
819,205402,https://sofifa.com/player/205402/jean-paul-boetius/20/159586,J. Boëtius,Jean-Paul Boëtius,25,1994-03-22,178,76,Netherlands,1. FSV Mainz 05,78,81,13000000,29000,"CAM, LW",Right,1,4,4,Medium/High,Normal,No,23100000.0,,CAM,5.0,,2018-08-27,2022.0,,,85.0,70.0,74.0,81.0,42.0,64.0,,,,,,,"Selfish, Early Crosser, Crowd Favourite",72,69,61,75,72,81,80,60,67,79,85,85,89,75,75,71,68,83,60,73,47,35,77,79,61,72,41,43,36,15,12,9,11,9,73+2,73+2,73+2,77+2,76+2,76+2,76+2,77+2,77+2,77+2,77+2,77+2,72+2,72+2,72+2,77+2,62+2,58+2,58+2,58+2,62+2,59+2,50+2,50+2,50+2,59+2
14190,233831,https://sofifa.com/player/233831/john-salas/20/159586,J. Salas,John Salas,22,1996-10-12,174,68,Chile,Coquimbo Unido,61,71,375000,1000,"RB, LB",Left,1,3,2,Medium/Medium,Lean,No,581000.0,,RB,22.0,,2019-01-01,2020.0,,,83.0,33.0,57.0,59.0,56.0,49.0,,,,,,,,67,21,44,62,30,52,45,61,61,63,86,81,79,53,72,52,69,48,46,34,54,57,50,37,45,49,54,59,58,6,8,12,12,7,48+2,48+2,48+2,55+2,52+2,52+2,52+2,55+2,53+2,53+2,53+2,57+2,53+2,53+2,53+2,57+2,60+2,56+2,56+2,56+2,60+2,60+2,55+2,55+2,55+2,60+2
6855,217096,https://sofifa.com/player/217096/joe-lumley/20/159586,J. Lumley,Joe Lumley,24,1995-02-15,190,73,England,Queens Park Rangers,68,74,925000,3000,GK,Right,1,3,1,Medium/Medium,Lean,No,1900000.0,,GK,1.0,,2013-05-30,2021.0,,,,,,,,,69.0,67.0,67.0,68.0,45.0,64.0,,18,12,19,21,15,19,15,13,18,23,43,46,30,64,51,50,51,38,51,16,26,25,19,45,17,28,20,19,20,69,67,67,64,68,,,,,,,,,,,,,,,,,,,,,,,,,,
5388,189824,https://sofifa.com/player/189824/renato-araujo-chaves-jr/20/159586,Renato Chaves,Renato de Araújo Chaves Júnior,29,1990-05-04,185,78,Brazil,Al Wehda,70,70,1500000,13000,CB,Right,1,2,2,Medium/Medium,Normal,No,2500000.0,,RCB,6.0,,2018-08-04,2021.0,,,55.0,47.0,54.0,49.0,70.0,72.0,,,,,,,,48,39,70,62,50,47,38,42,55,52,59,52,43,64,51,64,82,63,79,48,65,67,38,54,50,53,73,69,73,15,14,7,10,7,53+2,53+2,53+2,50+2,51+2,51+2,51+2,50+2,51+2,51+2,51+2,52+2,55+2,55+2,55+2,52+2,61+2,64+2,64+2,64+2,61+2,63+2,69+2,69+2,69+2,63+2
9206,252425,https://sofifa.com/player/252425/bogdan-mladenovic/20/159586,B. Mladenovic,Bogdan Mladenovic,23,1996-04-04,183,77,Serbia,Gil Vicente FC,66,71,850000,3000,LW,Left,1,2,2,Medium/Medium,Lean,No,1800000.0,,RES,10.0,,2019-08-05,2022.0,,,74.0,64.0,59.0,69.0,28.0,59.0,,,,,,,,62,65,48,61,61,71,70,41,47,68,73,74,68,65,65,75,48,67,62,52,46,31,65,64,59,64,20,29,26,10,9,12,9,12,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,64+2,64+2,64+2,65+2,58+2,58+2,58+2,65+2,51+2,46+2,46+2,46+2,51+2,48+2,40+2,40+2,40+2,48+2
419,220477,https://sofifa.com/player/220477/mattia-caldara/20/159586,M. Caldara,Mattia Caldara,25,1994-05-05,187,80,Italy,Milan,80,86,18000000,40000,CB,Right,2,3,2,Medium/High,Normal,No,34200000.0,,SUB,31.0,,2018-08-02,2023.0,,,64.0,34.0,46.0,63.0,83.0,74.0,,,,,,,Long Passer (CPU AI Only),34,36,82,63,51,62,20,24,58,63,62,65,58,77,59,38,76,64,78,20,76,82,34,32,30,74,85,84,80,14,9,6,9,5,54+2,54+2,54+2,52+2,52+2,52+2,52+2,52+2,52+2,52+2,52+2,54+2,57+2,57+2,57+2,54+2,68+2,71+2,71+2,71+2,68+2,71+2,79+2,79+2,79+2,71+2
15628,227870,https://sofifa.com/player/227870/andre-sodlund/20/159586,A. Södlund,André Södlund,22,1996-12-22,185,76,Norway,Odds BK,59,67,230000,1000,"RW, LW",Right,1,3,2,High/High,Lean,No,334000.0,,LW,24.0,,2018-08-15,2021.0,,,66.0,56.0,53.0,62.0,49.0,66.0,,,,,,,,45,58,52,63,46,64,38,34,52,61,64,68,63,57,50,65,53,75,67,49,56,48,56,52,47,58,45,52,52,14,12,6,15,10,59+2,59+2,59+2,58+2,59+2,59+2,59+2,58+2,58+2,58+2,58+2,59+2,57+2,57+2,57+2,59+2,56+2,55+2,55+2,55+2,56+2,55+2,53+2,53+2,53+2,55+2
4246,244194,https://sofifa.com/player/244194/peter-haring/20/159586,P. Haring,Peter Haring,26,1993-06-02,187,85,Austria,Heart of Midlothian,71,75,2700000,6000,"CDM, CM, CB",Right,1,4,2,Medium/High,Normal,No,5000000.0,,SUB,5.0,,2018-06-21,2020.0,,,65.0,48.0,65.0,67.0,73.0,74.0,,,,,,,"Leadership, Long Passer (CPU AI Only), Giant Throw-in",65,54,75,69,30,65,63,24,70,71,65,65,65,60,64,66,73,70,78,23,67,76,50,67,42,68,71,72,69,8,9,5,13,8,61+2,61+2,61+2,61+2,61+2,61+2,61+2,61+2,62+2,62+2,62+2,64+2,65+2,65+2,65+2,64+2,68+2,70+2,70+2,70+2,68+2,69+2,71+2,71+2,71+2,69+2
12409,246926,https://sofifa.com/player/246926/jose-castano-munoz/20/159586,Pepe Castaño,José Castaño Muñoz,20,1998-12-10,184,75,Spain,Villarreal CF,63,73,550000,4000,CB,Right,1,2,2,High/Low,Normal,No,1300000.0,,RES,33.0,,2018-07-01,2020.0,,,55.0,41.0,51.0,51.0,62.0,59.0,,,,,,,,42,38,64,60,41,42,48,28,55,58,55,55,61,59,61,53,67,57,58,31,64,63,42,48,52,56,62,61,63,7,5,11,12,15,50+2,50+2,50+2,48+2,49+2,49+2,49+2,48+2,50+2,50+2,50+2,50+2,53+2,53+2,53+2,50+2,56+2,59+2,59+2,59+2,56+2,58+2,61+2,61+2,61+2,58+2
10873,208507,https://sofifa.com/player/208507/daniel-barrio-alvarez/20/159586,Dani Barrio,Daniel Barrio Álvarez,32,1987-02-10,190,78,Spain,CD Numancia,65,65,325000,2000,GK,Right,1,3,1,Medium/Medium,Lean,No,504000.0,,GK,13.0,,2019-07-10,2020.0,,,,,,,,,66.0,65.0,62.0,70.0,49.0,65.0,,14,11,17,30,24,17,18,19,17,22,49,49,37,50,49,47,57,42,65,13,31,22,20,22,22,29,28,18,17,66,65,62,65,70,,,,,,,,,,,,,,,,,,,,,,,,,,
4285,218981,https://sofifa.com/player/218981/helibelton-palacios/20/159586,H. Palacios,Helibelton Palacios Zapata,26,1993-06-11,180,76,Colombia,Atlético Nacional,71,74,2600000,4000,"RB, RWB",Right,1,2,2,High/Medium,Normal,No,3800000.0,,RB,13.0,,2018-01-18,2020.0,,,84.0,37.0,62.0,63.0,66.0,78.0,,,,,,,Early Crosser,65,27,59,66,59,63,34,34,66,58,85,84,74,68,68,61,53,93,74,25,75,64,58,62,39,59,68,67,69,14,15,16,15,6,56+2,56+2,56+2,60+2,58+2,58+2,58+2,60+2,60+2,60+2,60+2,65+2,62+2,62+2,62+2,65+2,70+2,67+2,67+2,67+2,70+2,70+2,66+2,66+2,66+2,70+2
13529,251342,https://sofifa.com/player/251342/benedikt-pichler/20/159586,B. Pichler,Benedikt Pichler,21,1997-07-20,184,87,Austria,FK Austria Wien,62,69,425000,2000,"LM, ST",Right,1,3,2,Medium/Medium,Normal,No,701000.0,,RES,11.0,,2019-07-01,2023.0,,,70.0,56.0,54.0,66.0,32.0,62.0,,,,,,,,63,63,64,54,40,69,54,39,47,66,68,72,69,47,57,57,73,54,77,42,32,17,60,54,53,52,24,39,36,10,12,9,11,13,61+2,61+2,61+2,61+2,60+2,60+2,60+2,61+2,59+2,59+2,59+2,60+2,52+2,52+2,52+2,60+2,48+2,43+2,43+2,43+2,48+2,46+2,43+2,43+2,43+2,46+2
18065,252855,https://sofifa.com/player/252855/wayne-horlison/20/159586,W. Horlison,Wayne Horlison,27,1992-02-29,180,75,England,Bury,51,51,40000,1000,RM,Left,1,3,2,Medium/Medium,Normal,No,70000.0,,SUB,25.0,,2019-08-18,2023.0,,,78.0,48.0,43.0,51.0,39.0,54.0,,,,,,,,48,50,31,48,42,47,29,37,45,50,77,79,74,38,66,46,59,64,51,51,46,40,40,34,40,37,42,39,35,5,10,12,8,11,47+2,47+2,47+2,50+2,47+2,47+2,47+2,50+2,47+2,47+2,47+2,50+2,44+2,44+2,44+2,50+2,48+2,44+2,44+2,44+2,48+2,47+2,42+2,42+2,42+2,47+2
682,176919,https://sofifa.com/player/176919/nahuel-guzman/20/159586,N. Guzmán,Nahuel Ignacio Guzmán,33,1986-02-10,193,94,Argentina,Tigres U.A.N.L.,79,79,7000000,56000,GK,Right,3,3,1,Medium/Medium,Normal,No,11200000.0,,GK,1.0,,2014-07-04,2020.0,,,,,,,,,78.0,76.0,70.0,79.0,52.0,80.0,Acrobatic Clearance,20,10,15,40,12,21,18,22,46,25,51,52,70,77,57,53,66,38,80,17,33,29,19,55,12,65,26,13,12,78,76,70,80,79,,,,,,,,,,,,,,,,,,,,,,,,,,
7817,237973,https://sofifa.com/player/237973/konstantin-kuchaev/20/159586,K. Kuchaev,Konstantin Kuchaev,21,1998-03-18,182,74,Russia,PFC CSKA Moscow,67,77,1200000,1000,"CAM, LM",Right,1,4,3,Medium/Medium,Lean,No,3000000.0,,RES,20.0,,2015-07-01,2020.0,,,78.0,58.0,64.0,70.0,51.0,60.0,,,,,,,,67,62,52,68,49,70,58,52,55,71,83,73,70,62,64,66,57,68,52,44,71,38,63,67,51,62,60,53,46,9,8,10,12,9,63+2,63+2,63+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,68+2,62+2,62+2,62+2,68+2,60+2,58+2,58+2,58+2,60+2,59+2,54+2,54+2,54+2,59+2
