,sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
6804,244625,https://sofifa.com/player/244625/gonzalo-avila-gordon/20/159586,Pipa,Gonzalo Ávila Gordón,21,1998-01-26,175,68,Spain,RCD Espanyol,68,76,1300000,8000,"RM, RB, RWB",Right,1,3,3,Medium/Medium,Normal,No,3100000.0,,SUB,2.0,,2016-07-01,2022.0,,,76.0,54.0,64.0,70.0,62.0,64.0,,,,,,,,70,45,59,65,48,70,70,58,64,71,73,79,69,67,74,70,57,65,66,63,61,62,67,55,36,55,63,62,61,8,5,7,15,6,63+2,63+2,63+2,66+2,65+2,65+2,65+2,66+2,64+2,64+2,64+2,66+2,64+2,64+2,64+2,66+2,66+2,63+2,63+2,63+2,66+2,65+2,63+2,63+2,63+2,65+2
789,213629,https://sofifa.com/player/213629/erick-pulgar/20/159586,E. Pulgar,Erick Pulgar,25,1994-01-15,187,74,Chile,Fiorentina,78,83,12500000,45000,"CDM, CM",Right,1,3,3,Medium/High,Lean,No,22200000.0,,LCM,7.0,,2019-08-09,2024.0,CDM,13.0,64.0,61.0,75.0,74.0,76.0,78.0,,,,,,,,69,49,69,78,54,74,77,71,75,78,65,63,67,74,68,78,79,83,75,68,79,73,58,75,75,78,79,78,74,12,12,11,15,11,66+2,66+2,66+2,68+2,69+2,69+2,69+2,68+2,71+2,71+2,71+2,70+2,74+2,74+2,74+2,70+2,74+2,76+2,76+2,76+2,74+2,74+2,75+2,75+2,75+2,74+2
8296,199668,https://sofifa.com/player/199668/santiago-gallucci/20/159586,S. Gallucci,Santiago Alejandro Gallucci Otero,28,1991-03-08,180,71,Argentina,Central Córdoba,67,68,750000,4000,"CDM, CM",Right,1,3,2,Medium/Medium,Lean,No,1100000.0,,SUB,21.0,,2019-02-12,2023.0,,,62.0,49.0,60.0,55.0,68.0,72.0,,,,,,,,59,45,63,71,43,49,42,49,63,59,63,62,69,65,59,51,60,71,72,57,74,62,57,48,46,59,72,72,56,10,14,11,12,14,56+2,56+2,56+2,57+2,56+2,56+2,56+2,57+2,57+2,57+2,57+2,58+2,60+2,60+2,60+2,58+2,63+2,66+2,66+2,66+2,63+2,64+2,66+2,66+2,66+2,64+2
15162,235220,https://sofifa.com/player/235220/yeerzati-yeerjieti/20/159586,Yeerjieti Yeerzati,叶尔杰提·叶尔扎提,26,1993-01-04,178,80,China PR,Chongqing Dangdai Lifan FC SWM Team,60,64,190000,1000,GK,Right,1,2,1,Medium/Medium,Normal,No,309000.0,,SUB,1.0,,2019-03-25,2022.0,,,,,,,,,63.0,57.0,64.0,60.0,50.0,58.0,,11,9,10,22,7,13,10,12,15,13,46,54,64,57,43,48,75,21,54,9,22,7,4,53,11,25,21,13,12,63,57,64,58,60,,,,,,,,,,,,,,,,,,,,,,,,,,
14062,240451,https://sofifa.com/player/240451/jan-niklas-beste/20/159586,J. Beste,Jan Niklas Beste,20,1999-01-04,174,64,Germany,FC Emmen,61,75,525000,1000,LB,Left,1,3,3,High/Medium,Lean,No,,,SUB,39.0,SV Werder Bremen,,2020.0,,,70.0,41.0,57.0,65.0,55.0,57.0,,,,,,,,67,40,38,62,37,63,59,58,52,66,73,67,72,59,79,52,62,66,53,35,55,53,46,41,38,53,56,58,59,13,8,7,14,8,51+2,51+2,51+2,58+2,55+2,55+2,55+2,58+2,55+2,55+2,55+2,59+2,55+2,55+2,55+2,59+2,61+2,57+2,57+2,57+2,61+2,60+2,55+2,55+2,55+2,60+2
8945,239391,https://sofifa.com/player/239391/juan-carlos-gaete/20/159586,J. Gaete,Juan Carlos Gaete,23,1996-05-21,174,66,Chile,CD Cobresal,66,75,1000000,1000,"LW, RW",Right,1,3,2,High/Low,Normal,No,1600000.0,,LM,21.0,,2019-07-01,2022.0,,,74.0,62.0,63.0,69.0,27.0,65.0,,,,,,,,63,64,62,65,53,70,61,53,62,67,71,76,72,54,71,65,63,71,67,56,54,17,64,64,64,56,41,14,10,13,6,13,6,12,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,66+2,59+2,59+2,59+2,66+2,48+2,46+2,46+2,46+2,48+2,44+2,40+2,40+2,40+2,44+2
8797,247103,https://sofifa.com/player/247103/david-hancko/20/159586,D. Hancko,Dávid Hancko,21,1997-12-13,188,78,Slovakia,Sparta Praha,66,80,1300000,1000,LB,Left,1,3,2,Medium/Medium,Stocky,No,3700000.0,,SUB,33.0,,2018-07-01,2023.0,,,57.0,41.0,58.0,58.0,67.0,65.0,,,,,,,,63,38,65,68,48,60,39,57,46,58,59,56,48,65,45,46,63,64,69,37,59,67,55,48,47,57,60,73,69,14,12,6,7,14,54+2,54+2,54+2,56+2,55+2,55+2,55+2,56+2,55+2,55+2,55+2,57+2,57+2,57+2,57+2,57+2,64+2,62+2,62+2,62+2,64+2,64+2,65+2,65+2,65+2,64+2
6975,222930,https://sofifa.com/player/222930/tarkan-serbest/20/159586,T. Serbest,Tarkan Serbest,25,1994-05-02,185,79,Turkey,FK Austria Wien,68,72,1100000,7000,"CM, CDM",Right,1,3,2,Medium/Medium,Normal,No,1700000.0,,RCM,15.0,,2014-05-13,2021.0,,,62.0,51.0,65.0,65.0,68.0,70.0,,,,,,,,58,45,68,71,36,64,56,36,68,66,59,64,66,72,68,59,69,72,72,59,65,69,59,69,44,71,70,66,62,9,11,12,14,14,60+2,60+2,60+2,62+2,62+2,62+2,62+2,62+2,64+2,64+2,64+2,64+2,67+2,67+2,67+2,64+2,66+2,68+2,68+2,68+2,66+2,66+2,67+2,67+2,67+2,66+2
16639,213893,https://sofifa.com/player/213893/louis-john/20/159586,L. John,Louis John,25,1994-04-19,190,85,England,Cambridge United,57,63,130000,2000,CB,Right,1,2,2,Medium/Medium,Normal,No,254000.0,,SUB,15.0,,2018-07-01,2020.0,,,65.0,24.0,32.0,32.0,56.0,65.0,,,,,,,,29,19,57,34,25,25,25,29,26,33,63,67,46,57,44,34,74,59,75,22,46,57,30,37,37,44,55,58,54,10,16,13,9,11,38+2,38+2,38+2,35+2,35+2,35+2,35+2,35+2,34+2,34+2,34+2,37+2,37+2,37+2,37+2,37+2,48+2,47+2,47+2,47+2,48+2,51+2,56+2,56+2,56+2,51+2
4298,224524,https://sofifa.com/player/224524/esteban-burgos/20/159586,E. Burgos,Esteban Rodrigo Burgos,27,1992-01-09,190,80,Argentina,SD Eibar,71,74,2600000,13000,CB,Right,1,3,2,Medium/High,Lean,No,5600000.0,,SUB,2.0,,2019-07-01,2022.0,,,48.0,34.0,46.0,52.0,71.0,80.0,,,,,,,,35,23,71,61,32,48,35,26,48,57,49,48,53,69,46,61,52,79,87,30,73,73,32,35,54,62,70,70,70,15,9,13,7,12,49+2,49+2,49+2,45+2,46+2,46+2,46+2,45+2,47+2,47+2,47+2,48+2,53+2,53+2,53+2,48+2,62+2,65+2,65+2,65+2,62+2,63+2,70+2,70+2,70+2,63+2
16889,226693,https://sofifa.com/player/226693/mohamed-zeroual/20/159586,M. Zeroual,Mohamed Zeroual,20,1999-02-27,166,69,Belgium,KV Mechelen,56,67,160000,2000,CAM,Right,1,4,2,Medium/Medium,Normal,No,264000.0,,RES,37.0,,2015-07-01,2020.0,,,61.0,36.0,52.0,62.0,22.0,33.0,,,,,,,,29,34,29,63,37,61,63,38,55,60,71,52,71,41,90,36,30,30,31,33,41,23,49,54,52,57,28,13,22,13,13,13,7,11,44+2,44+2,44+2,51+2,51+2,51+2,51+2,51+2,54+2,54+2,54+2,51+2,49+2,49+2,49+2,51+2,37+2,38+2,38+2,38+2,37+2,34+2,29+2,29+2,29+2,34+2
3301,237383,https://sofifa.com/player/237383/alessandro-bastoni/20/159586,A. Bastoni,Alessandro Bastoni,20,1999-04-13,190,80,Italy,Inter,72,84,5000000,24000,CB,Left,1,3,2,Low/Medium,Lean,No,9500000.0,,SUB,19.0,,2017-08-31,2023.0,,,51.0,33.0,43.0,42.0,76.0,66.0,,,,,,,,33,26,74,55,35,36,37,36,42,45,51,51,42,64,57,49,71,55,69,25,71,72,43,38,47,52,76,78,75,11,5,9,11,12,46+2,46+2,46+2,42+2,44+2,44+2,44+2,42+2,43+2,43+2,43+2,44+2,48+2,48+2,48+2,44+2,58+2,62+2,62+2,62+2,58+2,62+2,70+2,70+2,70+2,62+2
2214,225293,https://sofifa.com/player/225293/habib-diallo/20/159586,H. Diallo,Habib Diallo,24,1995-06-15,186,79,Senegal,FC Metz,74,80,8000000,16000,ST,Right,1,2,3,High/Medium,Normal,No,17600000.0,,ST,20.0,,2015-07-01,2022.0,,,72.0,72.0,52.0,68.0,22.0,70.0,,,,,,,,35,78,78,64,66,70,50,36,42,68,73,71,60,68,67,74,75,68,80,57,47,19,75,58,80,65,13,17,17,13,14,14,15,12,72+2,72+2,72+2,65+2,69+2,69+2,69+2,65+2,66+2,66+2,66+2,64+2,57+2,57+2,57+2,64+2,44+2,43+2,43+2,43+2,44+2,42+2,40+2,40+2,40+2,42+2
5911,209769,https://sofifa.com/player/209769/bilal-basacikoglu/20/159586,B. Başaçıkoğlu,Bilal Başaçıkoğlu,24,1995-03-26,179,70,Turkey,Kayserispor,69,74,1400000,6000,"LM, LW, RW",Right,1,4,3,Medium/High,Normal,No,2900000.0,#Acrobat,SUB,7.0,,2018-07-01,2021.0,,,83.0,68.0,62.0,75.0,45.0,57.0,,,,,,,"Injury Free, Selfish",61,66,60,64,67,75,77,66,42,75,84,83,90,55,72,73,91,66,43,74,74,42,64,69,50,57,41,44,48,8,9,11,9,13,67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,69+2,69+2,69+2,68+2,61+2,61+2,61+2,68+2,58+2,53+2,53+2,53+2,58+2,57+2,52+2,52+2,52+2,57+2
8458,187550,https://sofifa.com/player/187550/eduardo-da-silva-neto/20/159586,Eduardo Neto,Eduardo da Silva Nascimento Neto,30,1988-10-24,185,76,Brazil,Nagoya Grampus,67,67,625000,3000,"CDM, CM",Left,1,2,3,Low/Medium,Normal,Yes,781000.0,,RCM,21.0,,2018-07-01,2022.0,,,66.0,53.0,60.0,61.0,65.0,76.0,,,,,,,"Selfish, Argues with Officials",62,38,47,67,58,60,63,44,63,64,65,66,60,65,53,71,81,66,83,71,70,68,57,45,43,65,65,70,64,7,8,7,8,9,58+2,58+2,58+2,59+2,58+2,58+2,58+2,59+2,59+2,59+2,59+2,60+2,61+2,61+2,61+2,60+2,65+2,66+2,66+2,66+2,65+2,65+2,67+2,67+2,67+2,65+2
15152,213412,https://sofifa.com/player/213412/james-alabi/20/159586,J. Alabi,James Alabi,24,1994-11-08,185,80,England,Leyton Orient,60,64,270000,3000,ST,Right,1,2,2,Medium/Medium,Stocky,No,493000.0,,SUB,27.0,,2018-06-26,2020.0,,,73.0,57.0,48.0,55.0,30.0,71.0,,,,,,,,46,57,57,52,46,54,49,42,43,56,76,71,58,56,60,61,59,65,82,54,56,23,56,50,59,55,32,27,24,6,14,8,13,8,59+2,59+2,59+2,56+2,56+2,56+2,56+2,56+2,55+2,55+2,55+2,56+2,50+2,50+2,50+2,56+2,45+2,43+2,43+2,43+2,45+2,44+2,43+2,43+2,43+2,44+2
14250,238503,https://sofifa.com/player/238503/leo-weinkauf/20/159586,L. Weinkauf,Leo Weinkauf,22,1996-07-07,196,90,Germany,MSV Duisburg,61,70,300000,1000,GK,Right,1,2,1,Medium/Medium,Normal,No,,,GK,1.0,Hannover 96,,2021.0,,,,,,,,,64.0,62.0,61.0,61.0,19.0,58.0,,11,9,10,23,10,8,9,10,16,14,20,18,24,51,30,46,49,26,58,6,22,14,6,26,18,33,15,10,9,64,62,61,58,61,,,,,,,,,,,,,,,,,,,,,,,,,,
15593,235975,https://sofifa.com/player/235975/abdulaziz-al-aryani/20/159586,A. Al Aryani,Abdulaziz Al Aryani,23,1996-03-13,173,77,Saudi Arabia,Al Ittihad,59,68,240000,5000,"RM, ST",Right,1,3,2,Medium/Low,Normal,No,456000.0,,RES,26.0,,2012-07-01,2022.0,,,74.0,57.0,46.0,62.0,33.0,59.0,,,,,,,,49,62,53,47,44,62,32,32,47,60,74,74,71,56,71,55,68,54,66,49,47,19,61,47,61,42,58,16,13,8,14,6,11,13,59+2,59+2,59+2,59+2,58+2,58+2,58+2,59+2,56+2,56+2,56+2,57+2,49+2,49+2,49+2,57+2,44+2,41+2,41+2,41+2,44+2,42+2,40+2,40+2,40+2,42+2
12419,220677,https://sofifa.com/player/220677/joe-morrell/20/159586,J. Morrell,Joe Morrell,22,1997-01-03,168,64,Wales,Lincoln City,63,72,550000,3000,CM,Right,1,3,3,Medium/Medium,Lean,No,,,LCM,19.0,Bristol City,,2020.0,,,69.0,53.0,61.0,66.0,48.0,46.0,,,,,,,,56,48,36,65,38,64,48,59,61,64,71,67,77,55,90,60,61,75,34,60,38,52,55,64,56,59,45,54,43,7,8,14,7,11,54+2,54+2,54+2,61+2,59+2,59+2,59+2,61+2,62+2,62+2,62+2,62+2,61+2,61+2,61+2,62+2,58+2,55+2,55+2,55+2,58+2,55+2,47+2,47+2,47+2,55+2
17503,226596,https://sofifa.com/player/226596/taulant-seferi/20/159586,T. Seferi,Taulant Sulejmanov,22,1996-11-15,184,78,Albania,Neuchâtel Xamax,54,65,120000,1000,ST,Right,1,3,2,High/Low,Lean,No,,,RS,17.0,BSC Young Boys,,2020.0,,,61.0,52.0,40.0,53.0,26.0,61.0,,,,,,,,35,53,54,44,44,52,40,32,32,51,57,65,57,52,60,46,81,57,58,55,70,22,54,47,56,46,26,22,21,12,8,10,12,15,52+2,52+2,52+2,50+2,51+2,51+2,51+2,50+2,50+2,50+2,50+2,49+2,44+2,44+2,44+2,49+2,39+2,38+2,38+2,38+2,39+2,38+2,39+2,39+2,39+2,38+2
16129,225904,https://sofifa.com/player/225904/juan-jimenez/20/159586,J. Jiménez,Juan Jiménez,23,1996-06-20,184,72,Colombia,Envigado FC,58,67,150000,1000,GK,Right,1,3,1,Medium/Medium,Normal,No,233000.0,,RES,12.0,,2014-07-03,2019.0,,,,,,,,,61.0,57.0,56.0,55.0,41.0,56.0,,15,13,22,28,18,18,16,18,24,24,42,40,34,57,47,42,58,42,50,12,20,18,17,22,21,35,18,18,13,61,57,56,56,55,,,,,,,,,,,,,,,,,,,,,,,,,,
6678,244952,https://sofifa.com/player/244952/vladimir-lorona/20/159586,V. Loroña,Vladimir Loroña,20,1998-11-16,180,75,Mexico,Club Tijuana,68,80,1500000,6000,"RB, RWB",Right,1,3,3,High/High,Normal,No,2800000.0,,SUB,22.0,,2019-07-05,2020.0,,,78.0,36.0,59.0,69.0,65.0,69.0,,,,,,,Long Passer (CPU AI Only),65,33,70,65,41,71,51,36,63,63,81,75,81,63,65,39,65,71,66,34,75,59,57,45,42,53,65,67,66,9,7,14,8,6,55+2,55+2,55+2,61+2,58+2,58+2,58+2,61+2,59+2,59+2,59+2,63+2,59+2,59+2,59+2,63+2,66+2,64+2,64+2,64+2,66+2,66+2,65+2,65+2,65+2,66+2
6464,204058,https://sofifa.com/player/204058/matteo-legittimo/20/159586,M. Legittimo,Matteo Legittimo,30,1989-06-17,184,76,Italy,Cosenza,69,69,850000,2000,"CB, LB",Left,1,3,2,Medium/High,Lean,No,1300000.0,,LB,18.0,,2018-08-17,2020.0,,,73.0,44.0,59.0,63.0,67.0,72.0,,,,,,,,59,35,70,66,36,62,60,59,62,65,70,75,61,67,63,60,65,76,72,45,70,65,57,46,50,65,68,66,66,15,11,10,9,9,58+2,58+2,58+2,59+2,58+2,58+2,58+2,59+2,58+2,58+2,58+2,61+2,61+2,61+2,61+2,61+2,66+2,65+2,65+2,65+2,66+2,67+2,67+2,67+2,67+2,67+2
2552,205194,https://sofifa.com/player/205194/ewerton-jose-almeida-santos/20/159586,Ewerton,Ewerton José Almeida Santos,30,1989-03-23,188,89,Brazil,Hamburger SV,74,74,4600000,12000,CB,Left,2,2,2,Medium/Medium,Normal,No,7300000.0,,SUB,3.0,,2019-07-01,2021.0,,,56.0,37.0,55.0,61.0,75.0,72.0,,,,,,,,48,30,73,66,49,59,37,40,52,64,54,58,63,68,61,53,83,61,79,32,66,78,30,55,47,73,73,76,73,7,9,7,13,14,52+2,52+2,52+2,52+2,52+2,52+2,52+2,52+2,54+2,54+2,54+2,54+2,58+2,58+2,58+2,54+2,65+2,68+2,68+2,68+2,65+2,67+2,73+2,73+2,73+2,67+2
13658,194790,https://sofifa.com/player/194790/harry-davis/20/159586,H. Davis,Harry Davis,27,1991-09-24,185,83,England,Grimsby Town,62,65,325000,2000,"CB, RB",Right,1,3,2,Medium/Medium,Normal,No,593000.0,,LCB,4.0,,2018-07-01,2020.0,,,54.0,34.0,41.0,42.0,62.0,69.0,,,,,,,Power Free-Kick,41,30,63,47,17,35,23,44,40,43,54,54,64,45,52,55,73,61,80,23,52,62,26,37,60,49,58,66,61,7,14,11,7,15,43+2,43+2,43+2,40+2,39+2,39+2,39+2,40+2,39+2,39+2,39+2,41+2,43+2,43+2,43+2,41+2,53+2,53+2,53+2,53+2,53+2,55+2,61+2,61+2,61+2,55+2
5500,204353,https://sofifa.com/player/204353/craig-forsyth/20/159586,C. Forsyth,Craig Forsyth,30,1989-02-24,189,83,Scotland,Derby County,70,70,1400000,14000,LB,Left,1,3,2,Medium/Medium,Lean,No,2700000.0,,SUB,3.0,,2013-07-01,2020.0,,,63.0,63.0,63.0,65.0,70.0,70.0,,,,,,,Dives Into Tackles (CPU AI Only),75,61,70,61,53,65,55,53,60,70,63,63,58,64,55,69,62,76,73,66,57,68,61,62,50,64,68,72,70,13,7,7,12,7,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,68+2,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,68+2
11238,238577,https://sofifa.com/player/238577/ji-hoon-kang/20/159586,Kang Ji Hoon,강지훈 Ji Hoon Kang,22,1997-01-06,177,66,Korea Republic,Gangwon FC,64,74,650000,1000,RB,Right,1,3,2,High/Medium,Lean,No,943000.0,,RES,23.0,,2018-03-05,2022.0,,,79.0,59.0,54.0,64.0,61.0,55.0,,,,,,,,60,62,58,62,41,63,28,37,41,62,78,79,74,59,71,55,49,68,50,64,54,57,64,54,31,59,63,63,57,9,5,11,6,10,61+2,61+2,61+2,64+2,62+2,62+2,62+2,64+2,61+2,61+2,61+2,62+2,58+2,58+2,58+2,62+2,62+2,58+2,58+2,58+2,62+2,62+2,58+2,58+2,58+2,62+2
11626,204520,https://sofifa.com/player/204520/toni-brito-silva-sa/20/159586,Toni Silva,Toni Brito Silva Sá,25,1993-09-15,182,74,Guinea Bissau,Astra Giurgiu,64,67,575000,3000,"RW, ST",Left,1,3,2,Medium/Medium,Lean,No,819000.0,,RES,25.0,,2019-07-30,2021.0,,,80.0,59.0,54.0,66.0,29.0,59.0,,,,,,,"Injury Free, Early Crosser",59,59,45,58,55,66,59,55,43,64,79,81,74,66,69,68,61,64,61,52,45,31,63,51,51,46,32,23,20,15,8,9,14,15,62+2,62+2,62+2,63+2,63+2,63+2,63+2,63+2,61+2,61+2,61+2,63+2,54+2,54+2,54+2,63+2,50+2,44+2,44+2,44+2,50+2,47+2,40+2,40+2,40+2,47+2
9957,242110,https://sofifa.com/player/242110/samuel-sosa/20/159586,S. Sosa,Samuel Sosa,19,1999-12-17,178,71,Venezuela,AD Alcorcón,65,79,1200000,2000,"LM, LW",Left,1,3,3,Medium/Medium,Lean,No,,,LM,17.0,Club Atlético Talleres,,2020.0,,,70.0,57.0,60.0,69.0,41.0,53.0,,,,,,,,61,58,46,63,50,72,48,56,57,68,77,65,67,58,67,62,35,57,58,52,40,33,64,59,52,68,44,41,40,11,13,15,9,13,60+2,60+2,60+2,64+2,63+2,63+2,63+2,64+2,63+2,63+2,63+2,64+2,59+2,59+2,59+2,64+2,53+2,50+2,50+2,50+2,53+2,51+2,45+2,45+2,45+2,51+2
7744,233053,https://sofifa.com/player/233053/amir-hadziahmetovic/20/159586,A. Hadžiahmetović,Amir Hadžiahmetović,22,1997-03-08,179,70,Bosnia Herzegovina,Atiker Konyaspor,67,79,1400000,5000,"LM, CAM, CDM",Right,1,3,2,Medium/High,Lean,No,3000000.0,,SUB,18.0,,2016-02-01,2020.0,,,69.0,56.0,65.0,68.0,56.0,69.0,,,,,,,Argues with Officials,59,46,54,71,43,70,54,61,68,70,70,69,58,63,69,72,54,73,68,66,69,63,65,64,55,58,41,65,62,7,15,7,14,14,62+2,62+2,62+2,64+2,65+2,65+2,65+2,64+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,64+2,64+2,64+2,64+2,64+2,63+2,60+2,60+2,60+2,63+2
13983,238516,https://sofifa.com/player/238516/leo-ostigard/20/159586,L. Østigård,Leo Østigård,19,1999-11-28,185,81,Norway,FC St. Pauli,61,81,500000,2000,CB,Right,1,3,2,Medium/High,Normal,No,,,RES,3.0,Brighton & Hove Albion,,2020.0,,,66.0,36.0,39.0,48.0,59.0,67.0,,,,,,,Long Passer (CPU AI Only),31,33,66,49,33,42,46,24,48,49,68,65,68,52,61,46,86,55,71,32,65,58,27,26,42,52,55,62,55,13,10,13,8,6,46+2,46+2,46+2,43+2,43+2,43+2,43+2,43+2,42+2,42+2,42+2,44+2,44+2,44+2,44+2,44+2,52+2,53+2,53+2,53+2,52+2,54+2,60+2,60+2,60+2,54+2
11445,211096,https://sofifa.com/player/211096/marcus-fraser/20/159586,M. Fraser,Marcus Fraser,25,1994-06-23,182,70,Scotland,Ross County FC,64,70,550000,2000,"CB, RB, LB",Right,1,2,2,Medium/Medium,Lean,No,1100000.0,,RB,2.0,,2015-01-22,2020.0,,,71.0,26.0,46.0,53.0,64.0,70.0,,,,,,,,49,23,44,55,23,50,26,33,47,49,70,72,74,49,67,27,68,70,77,25,53,69,44,33,35,62,60,68,72,10,10,9,9,6,43+2,43+2,43+2,48+2,44+2,44+2,44+2,48+2,46+2,46+2,46+2,50+2,49+2,49+2,49+2,50+2,61+2,58+2,58+2,58+2,61+2,62+2,62+2,62+2,62+2,62+2
16523,241101,https://sofifa.com/player/241101/pascal-petlach/20/159586,P. Petlach,Pascal Petlach,20,1999-01-18,184,80,Austria,FC Admira Wacker Mödling,57,68,160000,2000,CB,Right,1,3,2,Medium/Medium,Normal,No,264000.0,,SUB,23.0,,2017-07-01,2022.0,,,59.0,25.0,26.0,32.0,58.0,60.0,,,,,,,,26,18,53,30,19,27,24,29,28,31,61,58,40,47,57,38,71,40,74,23,46,56,28,16,40,44,61,59,54,8,9,13,14,14,36+2,36+2,36+2,32+2,32+2,32+2,32+2,32+2,29+2,29+2,29+2,32+2,31+2,31+2,31+2,32+2,45+2,44+2,44+2,44+2,45+2,48+2,55+2,55+2,55+2,48+2
9835,230264,https://sofifa.com/player/230264/dilson-robson-calegari-travassos/20/159586,Dilson Calegari,Dilson Robson Calegari Travassos,35,1984-02-29,179,75,Brazil,Goiás,66,66,280000,3000,"CAM, LM",Left,1,3,2,Medium/Medium,Normal,No,532000.0,,SUB,16.0,,2016-02-03,2022.0,,,66.0,65.0,65.0,62.0,37.0,54.0,,,,,,,,62,66,71,67,58,61,53,50,62,63,70,62,63,62,61,62,55,53,59,69,43,57,61,74,60,76,10,39,33,17,10,13,14,17,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,65+2,65+2,65+2,63+2,62+2,62+2,62+2,63+2,52+2,52+2,52+2,52+2,52+2,51+2,46+2,46+2,46+2,51+2
6788,235381,https://sofifa.com/player/235381/vincent-marcel/20/159586,V. Marcel,Vincent Marcel,22,1997-04-09,180,65,France,OGC Nice,68,76,1300000,11000,"RW, LW",Left,1,3,3,High/Low,Normal,No,2900000.0,,SUB,35.0,,2016-07-01,2021.0,,,71.0,62.0,67.0,71.0,49.0,56.0,,,,,,,Early Crosser,69,66,58,69,59,72,59,52,68,70,71,71,77,64,69,64,72,68,49,54,52,58,66,66,52,59,36,52,49,11,6,14,12,7,64+2,64+2,64+2,68+2,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,66+2,66+2,66+2,68+2,61+2,59+2,59+2,59+2,61+2,59+2,53+2,53+2,53+2,59+2
